"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.01.2022","5,5344","5,6333","5,6921","5,4996","","-1,79%"
"02.01.2022","5,6355","5,5663","5,7250","5,5561","","1,17%"
"26.12.2021","5,5703","5,6696","5,7100","5,5459","","-1,84%"
"19.12.2021","5,6750","5,7126","5,7570","5,6250","","-0,37%"
"12.12.2021","5,6959","5,6100","5,7357","5,6005","","1,48%"
"05.12.2021","5,6127","5,6524","5,7025","5,5170","","-0,72%"
"28.11.2021","5,6532","5,6073","5,6955","5,5760","","0,78%"
"21.11.2021","5,6093","5,6005","5,6630","5,5473","","-0,07%"
"14.11.2021","5,6135","5,4562","5,6143","5,4290","","2,83%"
"07.11.2021","5,4588","5,5662","5,5974","5,3870","","-1,52%"
"31.10.2021","5,5428","5,6216","5,6990","5,5010","","-1,67%"
"24.10.2021","5,6372","5,6523","5,6632","5,5360","","-0,18%"
"17.10.2021","5,6474","5,4568","5,7543","5,4568","","3,41%"
"10.10.2021","5,4611","5,5061","5,5731","5,4330","","-0,86%"
"03.10.2021","5,5082","5,3609","5,5369","5,3609","","2,71%"
"26.09.2021","5,3628","5,3377","5,4763","5,3060","","0,53%"
"19.09.2021","5,3344","5,2844","5,3775","5,2490","","0,87%"
"12.09.2021","5,2883","5,2475","5,3465","5,1970","","0,82%"
"05.09.2021","5,2454","5,1910","5,3339","5,1542","","1,05%"
"29.08.2021","5,1908","5,1996","5,2258","5,1150","","-0,17%"
"22.08.2021","5,1996","5,3785","5,4016","5,1860","","-3,30%"
"15.08.2021","5,3770","5,2429","5,4750","5,2278","","2,49%"
"08.08.2021","5,2466","5,2310","5,2986","5,1630","","0,32%"
"01.08.2021","5,2301","5,2143","5,2750","5,1093","","0,34%"
"25.07.2021","5,2123","5,2041","5,2294","5,0400","","0,22%"
"18.07.2021","5,2006","5,1178","5,2946","5,1178","","1,68%"
"11.07.2021","5,1147","5,2571","5,2839","5,0520","","-2,72%"
"04.07.2021","5,2579","5,0534","5,3139","5,0444","","3,96%"
"27.06.2021","5,0575","4,9297","5,0735","4,9163","","2,51%"
"20.06.2021","4,9335","5,0736","5,0810","4,8922","","-3,06%"
"13.06.2021","5,0894","5,1142","5,1180","4,9810","","-0,54%"
"06.06.2021","5,1171","5,0456","5,1386","5,0167","","1,34%"
"30.05.2021","5,0495","5,2215","5,2625","5,0310","","-3,35%"
"23.05.2021","5,2244","5,3650","5,3731","5,2083","","-2,56%"
"16.05.2021","5,3617","5,2714","5,3707","5,2285","","1,69%"
"09.05.2021","5,2728","5,2329","5,3323","5,1950","","0,69%"
"02.05.2021","5,2368","5,4357","5,4834","5,2016","","-3,68%"
"25.04.2021","5,4366","5,4745","5,4896","5,3267","","-0,70%"
"18.04.2021","5,4751","5,5865","5,6216","5,4229","","-2,03%"
"11.04.2021","5,5883","5,6814","5,7556","5,5647","","-1,65%"
"04.04.2021","5,6821","5,7096","5,7096","5,5374","","-0,45%"
"28.03.2021","5,7075","5,7536","5,8063","5,6069","","-0,85%"
"21.03.2021","5,7566","5,5077","5,7581","5,4627","","4,82%"
"14.03.2021","5,4917","5,5486","5,6819","5,4475","","-1,08%"
"07.03.2021","5,5518","5,6888","5,8785","5,5248","","-2,44%"
"28.02.2021","5,6908","5,5860","5,7725","5,5433","","1,65%"
"21.02.2021","5,5986","5,5120","5,6086","5,3886","","4,02%"
"14.02.2021","5,3823","5,3680","5,4701","5,3656","","0,23%"
"07.02.2021","5,3698","5,4030","5,4473","5,3030","","-0,01%"
"31.01.2021","5,3704","5,4649","5,4856","5,3189","","-1,69%"
"24.01.2021","5,4625","5,4665","5,5052","5,3109","","-0,07%"
"17.01.2021","5,4666","5,3007","5,4868","5,2310","","3,29%"
"10.01.2021","5,2927","5,4656","5,5159","5,1903","","-2,31%"
"03.01.2021","5,4178","5,1336","5,4398","5,1194","","4,31%"
"27.12.2020","5,1937","5,1774","5,3117","5,1510","","-0,44%"
"20.12.2020","5,2165","5,2006","5,2240","5,1085","","2,24%"
"13.12.2020","5,1022","5,0373","5,1430","5,0094","","0,72%"
"06.12.2020","5,0656","5,1595","5,1974","5,0136","","-1,75%"
"29.11.2020","5,1557","5,2888","5,3968","5,1160","","-3,52%"
"22.11.2020","5,3438","5,3770","5,4501","5,2950","","-0,67%"
"15.11.2020","5,3797","5,4130","5,4581","5,2735","","-1,44%"
"08.11.2020","5,4582","5,2736","5,5257","5,2229","","1,74%"
"01.11.2020","5,3647","5,7425","5,7660","5,3583","","-6,61%"
"25.10.2020","5,7446","5,6548","5,8077","5,5980","","2,26%"
"18.10.2020","5,6175","5,6453","5,6493","5,5460","","-0,45%"
"11.10.2020","5,6428","5,5248","5,6543","5,5200","","2,01%"
"04.10.2020","5,5318","5,6495","5,6767","5,4823","","-2,70%"
"27.09.2020","5,6851","5,5132","5,6921","5,5121","","2,21%"
"20.09.2020","5,5624","5,4505","5,6236","5,3820","","3,24%"
"13.09.2020","5,3876","5,3174","5,3981","5,2095","","1,29%"
"06.09.2020","5,3189","5,3590","5,4090","5,2572","","0,33%"
"30.08.2020","5,3012","5,3847","5,4950","5,2460","","-1,61%"
"23.08.2020","5,3881","5,5760","5,6333","5,3845","","-4,11%"
"16.08.2020","5,6192","5,4407","5,6725","5,4081","","3,67%"
"09.08.2020","5,4204","5,4393","5,4921","5,3480","","-0,33%"
"02.08.2020","5,4383","5,2220","5,4385","5,2110","","4,10%"
"26.07.2020","5,2240","5,2329","5,2329","5,1135","","-0,17%"
"19.07.2020","5,2329","5,3860","5,3903","5,0820","","-2,82%"
"12.07.2020","5,3849","5,3120","5,4537","5,2913","","1,15%"
"05.07.2020","5,3238","5,3140","5,4007","5,2440","","0,15%"
"28.06.2020","5,3158","5,4844","5,5074","5,2650","","-3,07%"
"21.06.2020","5,4840","5,2901","5,4921","5,1330","","3,27%"
"14.06.2020","5,3105","5,1311","5,3875","5,0465","","5,15%"
"07.06.2020","5,0505","4,9607","5,1107","4,8165","","1,86%"
"31.05.2020","4,9585","5,3330","5,4187","4,9315","","-7,08%"
"24.05.2020","5,3361","5,4930","5,5297","5,2682","","-3,57%"
"17.05.2020","5,5338","5,8562","5,8562","5,5224","","-5,49%"
"10.05.2020","5,8554","5,7808","5,9708","5,7410","","2,15%"
"03.05.2020","5,7319","5,6130","5,8760","5,4812","","4,49%"
"26.04.2020","5,4856","5,5413","5,7250","5,3300","","-1,88%"
"19.04.2020","5,5907","5,2846","5,7472","5,2636","","6,77%"
"12.04.2020","5,2363","5,1206","5,2753","5,1035","","2,55%"
"05.04.2020","5,1063","5,2986","5,3103","5,0484","","-4,57%"
"29.03.2020","5,3506","5,1169","5,3531","5,1119","","4,92%"
"22.03.2020","5,0997","5,0613","5,1462","4,9713","","0,73%"
"15.03.2020","5,0627","4,8590","5,2540","4,8590","","4,21%"
"08.03.2020","4,8580","4,7586","5,0278","4,6338","","4,99%"
"01.03.2020","4,6269","4,4946","4,6710","4,4514","","3,43%"
"23.02.2020","4,4733","4,3878","4,5136","4,3870","","1,91%"
"16.02.2020","4,3895","4,2997","4,4064","4,2966","","2,14%"
"09.02.2020","4,2974","4,3200","4,3829","4,2900","","-0,53%"
"02.02.2020","4,3203","4,2802","4,3234","4,2079","","0,89%"
"26.01.2020","4,2820","4,1832","4,2901","4,1796","","2,41%"
"19.01.2020","4,1814","4,1650","4,2171","4,1548","","0,48%"
"12.01.2020","4,1616","4,0892","4,2003","4,0874","","1,60%"
"05.01.2020","4,0960","4,0563","4,1043","4,0394","","0,72%"
"29.12.2019","4,0669","4,0480","4,0715","4,0029","","0,53%"
"22.12.2019","4,0456","4,1013","4,1013","4,0336","","-1,38%"
"15.12.2019","4,1022","4,1092","4,1092","4,0459","","-0,14%"
"08.12.2019","4,1080","4,1414","4,1605","4,0748","","-0,80%"
"01.12.2019","4,1411","4,2361","4,2532","4,1327","","-2,25%"
"24.11.2019","4,2364","4,1986","4,2770","4,1821","","0,96%"
"17.11.2019","4,1962","4,1777","4,2238","4,1690","","0,01%"
"10.11.2019","4,1957","4,1664","4,1986","4,1349","","0,78%"
"03.11.2019","4,1633","3,9882","4,1705","3,9739","","4,35%"
"27.10.2019","3,9897","4,0018","4,0373","3,9628","","-0,33%"
"20.10.2019","4,0029","4,1106","4,1516","3,9904","","-2,62%"
"13.10.2019","4,1105","4,1063","4,1865","4,1063","","0,03%"
"06.10.2019","4,1094","4,0560","4,1371","4,0558","","1,34%"
"29.09.2019","4,0551","4,1613","4,1850","4,0491","","-2,52%"
"22.09.2019","4,1599","4,1487","4,1942","4,1204","","0,31%"
"15.09.2019","4,1472","4,0845","4,1833","4,0704","","1,55%"
"08.09.2019","4,0840","4,0629","4,1292","4,0260","","0,57%"
"01.09.2019","4,0607","4,1430","4,1887","4,0520","","-2,02%"
"25.08.2019","4,1445","4,1190","4,1942","4,1020","","0,60%"
"18.08.2019","4,1196","4,0020","4,1318","3,9893","","2,85%"
"11.08.2019","4,0054","3,9391","4,0535","3,9380","","1,64%"
